country,match_type,keyword,campaign,current_bid,sweet_spot_bid,recommended_bid,action,impressions,orders,acos
US,EXACT,kw-3w-c102ea,US-Campaign-B73F26,0.75,0.2222651261781696,0.75,maintain,188866,37,0.0998609794305778
US,PHRASE,keyword-cc8c93,Campaign-913025,0.54,0.1604592968007602,0.2876117268501966,decrease,188818,241,0.0426296437824868
CA,BROAD,keyword-12314b,CA-Campaign-7097E9,0.65,0.2935599159074982,0.41,decrease,188670,31,0.0872871539441677
DE,BROAD,keyword-1cc6ef,DE-Campaign-336D54,0.44,0.184690067214339,0.2288114104595879,decrease,188275,11,0.1539384361193922
US,PHRASE,keyword-e2d1e8,US-Campaign-BEF255,0.9,0.1604592968007602,0.2876117268501966,decrease,188268,140,0.1590772905183441
CA,PHRASE,keyword-b58c15,CA-Campaign-6E9F21,0.47,0.2890287277701778,0.47,maintain,188230,4,0.5633315940516567
DE,PHRASE,keyword-800d76,DE-Campaign-ADE883,0.59,0.0757186081694402,0.259519014177819,decrease,188213,17,0.22400610295265
US,BROAD,keyword-096c8c,Campaign-9AE0FE,0.7,0.1107136970496126,0.2801420838971583,decrease,188179,81,0.1973434297474087
CA,BROAD,kw-5w-874bc4,CA-Campaign-087784,0.45,0.2935599159074982,0.41,decrease,188128,11,0.0772192513368984
CA,PHRASE,keyword-e83960,CA-Campaign-BF29E0,0.62,0.2890287277701778,0.5994039735099338,decrease,187886,51,0.1467921148491846
FR,BROAD,kw-3w-2baf28,FR-Campaign-97FC2C,0.25,0.26,0.2232843137254902,decrease,187680,13,0.1789220597074734
ES,PHRASE,keyword-150448,ES-Campaign-D30E3B,0.15,0.1250119331742243,0.15,maintain,187580,117,0.0485429761164411
US,BROAD,kw-3w-48bcce,US-Campaign-B5E8F5,0.2,0.1107136970496126,0.2,maintain,187552,113,0.1370481023647135
US,PHRASE,keyword-3c7962,US-Campaign-90D98A,0.3,0.1604592968007602,0.2876117268501966,decrease,187496,25,0.0675007560925138
CA,BROAD,kw-3w-ccbb4a,CA-Campaign-386EA8,0.6,0.2935599159074982,0.41,decrease,187470,77,0.121905860304188
US,BROAD,kw-4w-a561ad,US-Campaign-5576A1,0.9,0.1107136970496126,0.2801420838971583,decrease,187406,107,0.1964241546632369
CA,BROAD,kw-3w-9bac05,CA-Campaign-8BF090,0.75,0.2935599159074982,0.41,decrease,187364,8,0.1115091015854374
CA,BROAD,keyword-b832a2,CA-Campaign-8394D9,0.6,0.2935599159074982,0.41,decrease,187309,4,0.1594983058257733
US,EXACT,keyword-1e90f4,US-Campaign-AB4D24,0.5,0.2222651261781696,0.5,maintain,187237,6,0.1993576876756322
US,EXACT,kw-4w-f9e247,US-Campaign-2BF74C,0.21,0.2222651261781696,0.2222651261781696,increase,187230,4,0.2903194857526623
US,BROAD,kw-4w-1abcf0,US-Campaign-BBD1C5,0.61,0.1107136970496126,0.2801420838971583,decrease,187222,76,0.1106665889360131
CA,BROAD,keyword-c3123a,CA-Campaign-F81B19,0.6,0.2935599159074982,0.41,decrease,187181,10,0.0492932561307901
FR,BROAD,keyword-45653e,FR-Campaign-3A642D,0.65,0.26,0.2232843137254902,decrease,186989,148,0.0731842546226065
US,PHRASE,keyword-4f9798,US-Campaign-BFA4BC,1.5,0.1604592968007602,0.2876117268501966,decrease,186910,73,0.101895355791427
US,BROAD,kw-3w-1818e2,US-Campaign-662A4E,0.6,0.1107136970496126,0.2801420838971583,decrease,186884,200,0.0378701631069824
CA,EXACT,kw-4w-a489c2,CA-Campaign-3EF839,0.5,0.3397612359550562,0.5,maintain,186785,44,0.2062131135742047
US,PHRASE,keyword-eb3e09,US-Campaign-8BD3F8,0.4,0.1604592968007602,0.2876117268501966,decrease,186702,19,0.0725369391851354
US,BROAD,keyword-ccb563,US-Campaign-A33D70,1.0,0.1107136970496126,0.2801420838971583,decrease,186627,94,0.1080611060690742
CA,EXACT,kw-3w-7969c2,CA-Campaign-10544F,0.85,0.3397612359550562,0.5350323732976111,decrease,186554,14,0.1814246628884111
CA,BROAD,keyword-328e5d,CA-Campaign-B1D25F,0.55,0.2935599159074982,0.41,decrease,186377,10,0.2048578646879786
US,BROAD,kw-3w-95af9c,US-Campaign-D99506,0.6,0.1107136970496126,0.2801420838971583,decrease,186258,167,0.1171306740453562
US,BROAD,keyword-3f5755,US-Campaign-431F86,0.2,0.1107136970496126,0.2,maintain,186155,277,0.0541956826839537
IT,PHRASE,kw-4w-baefce,IT-Campaign-33F4F3,0.25,0.112657200811359,0.2088771186440677,decrease,185869,10,0.2365433792802345
FR,BROAD,kw-3w-715ef0,FR-Campaign-CC412B,0.28,0.26,0.2232843137254902,decrease,185860,105,0.1068300913237932
ES,BROAD,kw-3w-e96a74,ES-Campaign-7E6476,0.22,0.1474180865006553,0.1971257651641625,decrease,185705,12,0.0631241231327886
DE,BROAD,keyword-708ba5,DE-Campaign-0F7CA3,0.54,0.184690067214339,0.2288114104595879,decrease,185667,70,0.107644822025944
US,BROAD,keyword-02e2ee,US-Campaign-7E3425,0.5,0.1107136970496126,0.2801420838971583,decrease,185614,50,0.2285860732591574
CA,PHRASE,keyword-cf5bd7,CA-Campaign-D33AC6,0.7,0.2890287277701778,0.5994039735099338,decrease,185440,20,0.1892565619042964
US,BROAD,keyword-8d00c9,US-Campaign-431F86,0.2,0.1107136970496126,0.2,maintain,185423,70,0.2011456350144552
FR,BROAD,kw-4w-e88d24,FR-Campaign-5A6465,0.38,0.26,0.2232843137254902,decrease,185378,9,0.118274801119827
US,PHRASE,kw-4w-42d3e0,US-Campaign-F746D7,1.86,0.1604592968007602,0.2876117268501966,decrease,185243,38,0.2619257024172761
US,PHRASE,keyword-05cf4e,Campaign-2B27FB,0.46,0.1604592968007602,0.2876117268501966,decrease,185222,262,0.0832554437688743
CA,BROAD,kw-7w-1dbe5c,CA-Campaign-3AEE98,0.21,0.2935599159074982,0.2935599159074982,increase,185138,6,0.0551820863761667
US,BROAD,keyword-ab5990,US-Campaign-11E647,0.3,0.1107136970496126,0.2801420838971583,decrease,185095,52,0.1733204376473432
DE,EXACT,keyword-a679ee,DE-Campaign-B30B90,0.8,0.153262599469496,0.25,decrease,184579,49,0.1874725617930518
US,BROAD,kw-4w-710567,US-Campaign-362AC7,0.55,0.1107136970496126,0.2801420838971583,decrease,184573,36,0.0471232505047007
US,BROAD,kw-4w-4c6a48,US-Campaign-362AC7,1.43,0.1107136970496126,0.2801420838971583,decrease,184462,57,0.0667951565834748
IT,BROAD,keyword-552bdf,IT-Campaign-B30888,0.11,0.1387337278106508,0.11,maintain,184428,3,0.0906686260102865
DE,BROAD,keyword-4348e7,DE-Campaign-336D54,0.6,0.184690067214339,0.2288114104595879,decrease,184393,8,0.1519649929376575
US,EXACT,kw-3w-31bd1b,US-Campaign-74158A,0.6,0.2222651261781696,0.6,maintain,184222,66,0.227669825047834
UK,PHRASE,keyword-939aa3,UK-Campaign-C9DA74,0.24,0.1614092953523238,0.23,decrease,184095,27,0.2407786801616128
CA,BROAD,keyword-58f531,CA-Campaign-6CF5C0,0.64,0.2935599159074982,0.41,decrease,183880,15,0.0350030751592813
US,BROAD,kw-5w-952d5b,US-Campaign-15C995,0.75,0.1107136970496126,0.2801420838971583,decrease,183877,16,0.3023293376055317
FR,BROAD,keyword-9987c9,FR-Campaign-15F0CC,0.48,0.26,0.2232843137254902,decrease,183834,62,0.0427633713427012
US,EXACT,kw-4w-c30fcf,US-Campaign-8512D0,0.65,0.2222651261781696,0.65,maintain,183810,136,0.1500495943887491
US,BROAD,keyword-6afd33,US-Campaign-045161,0.85,0.1107136970496126,0.2801420838971583,decrease,183688,64,0.1340412426131504
US,BROAD,keyword-c8c4bf,US-Campaign-E9A428,0.8,0.1107136970496126,0.2801420838971583,decrease,183553,55,0.0588761249780332
